Emiten,Harga Terakhir (Rp),Prediksi +1 Hari RFR,Prediksi +1 Hari LSTM,Prediksi +30 Hari RFR,Prediksi +30 Hari LSTM,RFR MAE(Ret),RFR RMSE(Ret),RFR MAE(Rp),RFR RMSE(Rp),LSTM MAE(Ret),LSTM RMSE(Ret),LSTM MAE(Rp),LSTM RMSE(Rp)
ICBP,7125.0,7138.46,7124.11,6976.15,6082.03,0.01448,0.0193,115.18,152.92,0.01439,0.01948,113.86,152.82
INDF,6600.0,6619.1,6724.59,6114.04,7371.88,0.01298,0.01687,92.52,118.63,0.01373,0.0176,98.38,124.94
MYOR,1815.0,1805.8,1818.75,1753.93,1736.0,0.01734,0.02262,36.08,47.04,0.01748,0.02235,36.52,46.95
CMRY,4790.0,4762.32,4759.18,4726.2,6687.2,0.0189,0.02599,96.34,133.47,0.01902,0.02583,96.1,130.27
ULTJ,1500.0,1492.97,1505.97,1491.24,1680.81,0.01414,0.02053,20.92,30.73,0.01386,0.02033,20.45,30.29
