Dalam IDR;Q2 2026;Q1 2026;Q4 2025;Q3 2025;Q2 2025;Q1 2025;Q4 2024;Q3 2024;Q2 2024;Q1 2024;Q4 2023;Q3 2023;Q2 2023;Q1 2023;Q4 2022;Q3 2022;Q2 2022;Q1 2022;Q4 2021;Q3 2021;Q2 2021;Q1 2021;Q4 2020;Q3 2020;Q2 2020;Q1 2020;Q4 2019;Q3 2019;Q2 2019;Q1 2019;Q4 2018;Q3 2018;Q2 2018;Q1 2018;Q4 2017;Q3 2017;Q2 2017;Q1 2017;Q4 2016;Q3 2016;Q2 2016;Q1 2016;Q4 2015;Q3 2015;Q2 2015;Q1 2015;Q4 2014;Q3 2014;Q2 2014;Q1 2014;Q4 2013;Q3 2013;Q2 2013;Q1 2013;Q4 2012;Q3 2012;Q2 2012;Q1 2012;Q4 2011;Q3 2011;Q2 2011;Q1 2011;Q4 2010;Q3 2010;Q2 2010;Q1 2010;Q4 2009;Q3 2009;Q2 2009;Q1 2009;Q4 2008;Q3 2008;Q2 2008;Q1 2008
Share Outstanding;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;22.36 B;0.89 B;0.89 B;0.89 B;0.89 B;0.89 B;0.89 B;0.89 B;0.89 B;0.89 B;0.89 B;0.89 B;0.77 B;0.77 B;0.77 B;0.77 B;0.77 B;0.77 B;0.77 B;0.77 B;0.77 B;0.77 B;0.77 B;0.77 B;0.77 B;0.77 B;0.77 B;0.77 B;0.77 B;0.77 B;0.77 B;0.77 B;0.77 B;0.77 B;0.77 B
EPS (Quarter);34.16;42.29;45.42;30.54;21.34;30.84;44.05;13.32;27.08;49.74;52.22;36.11;21.99;32.52;38.35;19.30;15.53;13.69;9.33;2.12;4.82;36.80;22.54;27.64;0.32;41.66;39.88;12.90;15.26;20.86;27.56;16.29;11.95;20.96;29.81;17.00;8.35;16.15;20.44;13.71;300.17;360.92;392.13;308.28;358.81;304.93;172.23;-60.75;206.14;133.69;313.59;404.12;301.67;287.33;289.39;223.79;257.11;181.50;287.86;126.85;79.25;120.50;216.43;148.99;125.67;160.70;140.64;140.56;123.26;94.51;76.02;64.56;65.90;56.49
PE Ratio (Quarter);53.72;43.27;46.90;66.47;97.94;65.82;63.11;213.21;86.78;51.07;47.68;70.62;118.69;82.10;65.19;94.82;134.58;128.56;218.65;1113.21;479.25;71.20;120.23;86.11;7062.50;44.53;51.40;172.87;162.52;122.72;95.07;166.97;248.54;140.74;67.76;115.29;264.67;131.89;80.48;109.04;129.76;87.21;77.78;86.29;72.46;94.78;121.35;-502.06;142.62;224.40;82.91;78.31;99.97;94.30;69.14;100.09;98.35;105.74;49.54;100.48;164.14;93.67;49.73;68.71;55.24;24.87;31.94;21.37;13.01;10.80;14.96;22.13;20.36;20.13
Price to Sales (Quarter);4.81;4.36;4.13;4.85;5.89;4.60;5.96;6.74;7.04;6.48;6.48;7.06;9.17;7.06;6.62;5.21;6.88;5.19;5.69;7.84;8.88;7.99;8.79;8.19;8.86;7.71;6.49;8.45;9.17;9.52;8.73;9.31;12.29;12.18;6.93;8.93;11.20;9.56;7.31;8.28;7.58;6.01;6.61;7.55;5.69;7.48;5.18;8.69;6.71;7.67;6.78;8.69;7.43;7.73;5.43;7.66;6.74;5.73;3.89;4.02;4.43;4.41;3.93;4.34;2.98;2.01;2.84;1.98;1.02;0.65;0.85;1.07;1.02;1.03
EBITDA (Quarter);1,081.38 B;1,459.84 B;1,621.91 B;1,132.28 B;977.76 B;1,145.73 B;1,385.70 B;1,017.85 B;930.79 B;1,548.83 B;1,739.88 B;1,732.40 B;812.10 B;1,377.30 B;1,193.78 B;830.78 B;655.91 B;680.05 B;497.14 B;423.60 B;475.02 B;1,220.64 B;1,191.33 B;895.12 B;663.76 B;885.58 B;1,383.78 B;703.86 B;723.32 B;949.49 B;1,267.51 B;624.64 B;541.89 B;743.08 B;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Return on Assets (Quarter);2.68%;3.30%;3.24%;2.22%;1.58%;2.37%;3.31%;0.98%;2.21%;4.29%;4.89%;3.45%;2.08%;3.15%;3.85%;1.92%;1.57%;1.39%;1.05%;0.24%;0.53%;3.91%;2.55%;3.25%;0.04%;4.78%;4.68%;1.59%;1.93%;2.68%;3.50%;2.02%;1.62%;2.99%;4.47%;2.74%;1.32%;2.64%;3.54%;2.47%;2.18%;2.67%;3.09%;2.48%;2.98%;2.59%;1.50%;-0.51%;1.66%;1.20%;2.89%;3.47%;2.67%;2.68%;2.67%;2.22%;2.53%;2.12%;3.34%;1.81%;1.28%;2.15%;3.77%;3.14%;2.66%;3.56%;3.32%;3.40%;3.05%;2.44%;1.99%;2.01%;2.03%;2.17%
Return on Equity (Quarter);4.21%;5.00%;5.61%;3.95%;2.87%;3.93%;5.86%;1.88%;3.90%;6.88%;7.76%;5.82%;3.76%;5.45%;6.79%;3.68%;2.95%;2.68%;1.88%;0.44%;0.90%;6.95%;4.58%;5.86%;0.07%;8.79%;9.23%;3.28%;3.73%;5.29%;7.39%;4.74%;3.65%;6.13%;9.28%;5.78%;3.01%;5.57%;7.47%;5.45%;4.74%;5.98%;6.91%;5.83%;6.97%;6.37%;3.84%;-1.41%;4.48%;3.04%;7.28%;8.66%;6.72%;6.86%;7.42%;6.19%;7.58%;5.56%;9.34%;4.54%;2.83%;4.44%;8.33%;6.25%;5.37%;7.24%;6.82%;7.30%;6.70%;5.50%;4.68%;4.15%;4.29%;3.84%
Return on Capital Employed (Quarter);3.36%;4.78%;5.47%;3.69%;3.04%;3.72%;5.37%;3.41%;3.28%;6.37%;7.91%;5.95%;3.40%;6.81%;5.99%;3.82%;2.65%;2.91%;2.25%;1.23%;1.47%;5.99%;5.69%;4.44%;3.08%;4.67%;8.45%;3.93%;4.18%;6.18%;8.68%;3.90%;3.57%;5.67%;9.91%;5.74%;3.48%;6.25%;7.42%;6.16%;5.72%;7.30%;7.69%;4.12%;7.27%;5.37%;3.60%;0.06%;3.70%;4.93%;4.92%;4.48%;4.99%;5.22%;5.78%;5.21%;5.71%;4.60%;6.80%;4.49%;3.39%;4.50%;7.64%;6.72%;6.12%;7.55%;6.48%;7.55%;6.80%;5.91%;5.23%;4.90%;4.92%;8.71%
Interest Coverage (Quarter);9.73;9.60;8.86;5.22;5.03;5.95;6.77;5.14;12.79;23.82;27.07;13.60;7.41;12.77;8.91;5.97;3.92;6.12;3.80;2.52;3.30;12.44;9.04;8.72;7.20;6.96;105.61;4.70;4.88;6.20;7.85;3.50;3.44;6.56;10.55;5.23;3.11;7.26;7.06;6.08;5.81;6.97;6.54;3.31;6.08;3.89;2.97;0.05;2.87;4.13;4.48;4.38;6.06;5.76;5.36;4.42;5.17;6.32;15.73;3.94;4.02;5.22;9.16;8.83;8.15;8.99;6.91;7.50;6.06;4.78;5.71;7.09;4.85;5.88
