Dalam IDR;Q2 2026;Q1 2026;Q4 2025;Q3 2025;Q2 2025;Q1 2025;Q4 2024;Q3 2024;Q2 2024;Q1 2024;Q4 2023;Q3 2023;Q2 2023;Q1 2023;Q4 2022;Q3 2022;Q2 2022;Q1 2022;Q4 2021;Q3 2021;Q2 2021;Q1 2021;Q4 2020;Q3 2020;Q2 2020;Q1 2020;Q4 2019;Q3 2019;Q2 2019;Q1 2019;Q4 2018;Q3 2018;Q2 2018;Q1 2018;Q4 2017;Q3 2017;Q2 2017;Q1 2017;Q4 2016;Q3 2016;Q2 2016;Q1 2016;Q4 2015;Q3 2015;Q2 2015;Q1 2015;Q4 2014;Q3 2014;Q2 2014;Q1 2014;Q4 2013;Q3 2013;Q2 2013;Q1 2013;Q4 2012;Q3 2012;Q2 2012;Q1 2012;Q4 2011;Q3 2011;Q2 2011;Q1 2011;Q4 2010;Q3 2010;Q2 2010;Q1 2010;Q4 2009;Q3 2009;Q2 2009;Q1 2009;Q4 2008;Q3 2008;Q2 2008;Q1 2008
Share Outstanding;10.40 B;10.40 B;10.40 B;10.40 B;10.40 B;10.40 B;10.40 B;10.40 B;10.40 B;10.40 B;10.40 B;10.40 B;11.55 B;11.55 B;11.55 B;11.55 B;11.55 B;11.55 B;11.55 B;11.55 B;11.55 B;11.55 B;11.55 B;11.55 B;11.55 B;11.55 B;11.55 B;11.55 B;11.55 B;11.55 B;11.55 B;11.55 B;11.55 B;11.55 B;11.55 B;11.55 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;n/a;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B;2.89 B
EPS (Quarter);53.22;47.66;37.74;34.34;23.00;35.07;24.57;12.12;33.66;38.96;22.14;31.56;22.12;30.75;10.91;19.61;27.38;25.26;31.27;21.65;22.22;34.93;10.90;36.25;10.32;37.72;18.87;26.46;18.06;25.96;7.61;21.70;16.61;14.47;5.40;22.64;49.03;82.29;54.00;85.00;46.65;57.52;43.45;58.62;26.13;51.50;29.52;28.23;12.16;30.97;16.26;20.22;36.26;39.87;61.81;28.47;15.78;16.14;-2.24;12.18;11.18;13.92;4.03;n/a;12.78;10.71;4.49;7.02;5.06;4.30;-12.01;4.14;0.70;112.37
PE Ratio (Quarter);24.71;31.89;38.16;37.57;58.70;42.20;73.46;155.53;54.96;50.69;72.27;52.60;88.38;45.85;135.20;70.88;52.78;59.18;50.21;70.67;69.08;43.37;146.79;46.62;159.88;42.29;89.03;59.71;79.18;47.77;177.40;61.52;81.28;109.88;239.81;55.43;102.47;52.01;84.67;51.06;92.18;66.97;90.77;67.89;150.02;77.13;126.02;137.87;325.66;126.96;276.75;202.77;121.35;54.58;21.55;40.04;66.67;72.61;-482.14;83.74;120.93;74.14;300.74;0.00;53.21;59.01;129.18;90.03;118.58;174.88;-66.61;167.15;1074.29;5.70
Price to Sales (Quarter);5.04;5.68;5.92;6.22;7.81;6.74;8.19;9.17;8.96;8.94;7.62;8.72;11.85;7.29;8.61;8.08;9.00;9.40;9.94;10.21;11.52;11.51;12.22;13.60;13.57;11.41;11.72;11.32;10.70;10.03;10.92;10.86;11.80;14.10;11.48;11.52;12.77;10.46;10.71;10.85;10.35;10.14;10.18;10.56;9.84;11.08;10.38;11.49;11.42;12.59;13.97;14.09;14.34;7.83;5.16;4.64;4.25;5.28;5.30;5.48;7.98;6.12;7.36;0.00;3.99;4.35;3.87;4.17;4.23;6.52;6.69;5.38;6.54;5.90
EBITDA (Quarter);728.26 B;658.17 B;535.29 B;462.56 B;327.78 B;435.54 B;262.34 B;372.94 B;406.44 B;509.33 B;326.05 B;484.36 B;354.96 B;533.93 B;245.52 B;345.11 B;429.82 B;426.67 B;382.34 B;443.35 B;383.78 B;392.98 B;393.79 B;292.06 B;314.39 B;401.43 B;331.18 B;391.03 B;314.21 B;348.86 B;219.70 B;348.71 B;181.20 B;298.69 B;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Return on Assets (Quarter);6.10%;4.95%;4.24%;4.16%;2.93%;4.22%;3.02%;1.60%;4.20%;5.08%;3.06%;4.25%;3.27%;4.75%;1.71%;2.81%;4.00%;3.72%;4.88%;2.77%;2.76%;4.42%;1.44%;7.50%;1.69%;6.11%;3.30%;4.78%;3.38%;5.12%;1.58%;4.49%;3.55%;3.20%;1.20%;5.32%;3.05%;5.48%;3.68%;6.16%;3.56%;4.60%;3.55%;5.00%;2.35%;4.72%;2.92%;2.68%;1.19%;3.16%;1.67%;2.15%;3.89%;4.46%;7.38%;3.56%;2.03%;2.17%;-0.30%;1.71%;1.58%;1.96%;0.58%;2.79%;1.95%;1.67%;0.75%;1.19%;0.84%;0.71%;-2.02%;0.69%;0.12%;18.75%
Return on Equity (Quarter);6.98%;5.68%;4.77%;4.55%;3.20%;4.73%;3.48%;1.78%;5.04%;5.78%;3.49%;5.16%;4.22%;5.83%;2.20%;4.02%;5.59%;5.46%;7.16%;5.31%;4.81%;7.93%;2.69%;9.24%;1.95%;7.28%;3.93%;5.73%;4.15%;6.05%;1.89%;5.49%;4.44%;3.94%;1.53%;6.48%;3.75%;6.40%;4.49%;7.38%;4.37%;5.64%;4.51%;6.39%;3.04%;6.19%;3.78%;3.76%;1.68%;4.29%;2.35%;2.99%;5.53%;6.44%;10.67%;5.32%;3.12%;3.22%;-0.46%;2.50%;2.36%;3.00%;0.90%;0.00%;2.93%;2.53%;1.09%;1.72%;1.26%;1.08%;-3.06%;1.01%;0.17%;27.91%
Return on Capital Employed (Quarter);7.63%;6.74%;5.96%;5.35%;3.68%;5.10%;2.99%;4.65%;5.14%;6.74%;4.26%;5.69%;5.02%;8.09%;3.31%;4.70%;6.02%;6.43%;5.44%;5.89%;4.87%;5.24%;6.00%;4.53%;4.40%;6.06%;5.11%;6.61%;5.32%;6.21%;3.71%;5.35%;4.44%;5.92%;4.41%;8.03%;4.20%;7.16%;5.60%;8.99%;5.11%;6.43%;5.86%;7.49%;3.65%;7.39%;3.87%;3.51%;2.68%;4.21%;3.63%;4.91%;7.60%;7.22%;6.23%;7.80%;7.10%;5.79%;0.57%;3.68%;3.25%;4.22%;2.33%;4.58%;3.78%;3.37%;2.76%;2.74%;2.17%;1.22%;-6.10%;0.21%;-0.47%;2.10%
Interest Coverage (Quarter);24220.48;20247.21;16422.47;13184.34;8450.12;12339.41;170.49;731.44;922.84;833.65;43.90;27.38;23.39;36.18;8.64;9.34;11.82;11.74;6.70;6.52;5.43;5.57;10.04;4397.54;4369.52;2553.19;736.76;456.44;536.41;312.79;96.46;3436.23;2719.81;3521.61;160.02;3733.24;1712.25;2338.10;112.67;3384.08;1829.83;1855.94;85.68;1782.44;1379.32;1214.74;68.45;88.44;117.93;72.66;30.59;54.65;80.95;77.77;36.01;44.79;38.61;32.03;1.18;9.76;7.17;9.19;3.39;5.82;8.05;6.50;4.75;4.21;3.64;2.51;-9.79;0.30;-0.89;1.77
